id,site
1,http://news.ifeng.com/a/20181125/60172787_0.shtml?_zbs_hao123_pic1
2,https://www.hao123.com/mid?from=shoubai&amp;key=9288237188487279719
3,http://bbs.miercn.com/hao123tj_3rd/201811/1987025.html
4,https://www.hao123.com/mid?from=shoubai&amp;key=5733116021218116563
5,https://mini.eastday.com/a/n181125084352383.html?qid=hao123tj
6,https://www.hao123.com/mid?from=shoubai&amp;key=9295215238991982646
7,http://bbs.miercn.com/social/201811/1987453.html
8,https://mini.eastday.com/a/n181125075157679.html?qid=hao123news
9,https://www.hao123.com/mid?from=shoubai&amp;key=12850371354857300556
10,https://www.hao123.com/mid?from=shoubai&amp;key=9567189413796828446
11,https://www.hao123.com/mid?from=shoubai&amp;key=8941877797120491551
12,https://www.hao123.com/mid?from=shoubai&amp;key=8748879387139386026
13,https://mini.eastday.com/a/181124162833101.html?qid=hao123news
14,https://mini.eastday.com/a/181125082944978.html?qid=hao123news
15,https://mini.eastday.com/a/n181125080508935.html?qid=hao123news
16,https://mini.eastday.com/a/n181125130337356.html?qid=hao123news
17,http://bbs.miercn.com/hao123yl/201811/1987115.html
18,http://bbs.miercn.com/hao123yl/201811/1987055.html
19,http://news.ifeng.com/a/20181125/60172782_0.shtml?_zbs_hao123_pic
20,http://bbs.miercn.com/news/201811/1986957.html
21,https://www.hao123.com/mid?from=shoubai&amp;key=8902435802442474711
22,http://bbs.miercn.com/news4/201811/1986997.html
23,https://mil.eastday.com/a/181125065227071.html?qid=01434
24,http://bbs.miercn.com/news6/201811/1987005.html
25,http://news.ifeng.com/a/20181125/60172942_0.shtml?_zbs_hao123_pic
26,https://www.hao123.com/mid?from=shoubai&amp;key=8505315034457907561
27,https://www.hao123.com/mid?from=shoubai&amp;key=14556583940435233251
28,https://sports.eastday.com/a/181124235949145000000.html?qid=hao123lty
29,https://sports.eastday.com/a/181124235839503000000.html?qid=hao123lty
30,https://sports.eastday.com/a/181124175130678000000.html?qid=hao123lty
31,http://v.baidu.com/watch/8622436597885494342.html?fr=www.hao123.com/bangdan
32,http://v.hao123.baidu.com/video/news?rid=8823186101903776429
33,http://v.hao123.baidu.com/video/news?rid=7000249020822537215
34,http://www.hao123.com/zt/bmhsp
35,http://www.hao123.com/zt/ttsp
36,http://v.hao123.baidu.com/video/news?rid=13627766950420859698
37,http://v.hao123.baidu.com/dianshi/123934.htm
38,http://v.hao123.baidu.com/dianshi/121495.htm
39,http://v.hao123.baidu.com/dianshi/123475.htm
40,http://v.hao123.baidu.com/dianshi/122861.htm
41,http://v.hao123.baidu.com/dianshi/123334.htm
42,http://v.hao123.baidu.com/dianshi/124631.htm
43,http://v.baidu.com/watch/5336827558430491559.html?fr=www.hao123.com/bangdan
44,http://v.hao123.baidu.com/dianying/93471.htm
45,http://v.hao123.baidu.com/dianying/82136.htm
46,http://v.hao123.baidu.com/dianying/219161.htm
47,http://v.hao123.baidu.com/dianying/221501.htm
48,http://v.hao123.baidu.com/dianying/221553.htm
49,http://v.hao123.baidu.com/zongyi/120112.htm
50,http://v.hao123.baidu.com/zongyi/101178.htm
51,http://v.hao123.baidu.com/zongyi/101169.htm
52,http://v.hao123.baidu.com/zongyi/116767.htm
53,http://v.hao123.baidu.com/zongyi/121363.htm
54,http://v.hao123.baidu.com/zongyi/116746.htm
55,http://v.hao123.baidu.com/dongman/331501.htm
56,http://v.hao123.baidu.com/dongman/331492.htm
57,http://v.hao123.baidu.com/dongman/331468.htm
58,http://v.hao123.baidu.com/dongman/297044.htm
59,http://v.hao123.baidu.com/dongman/297099.html
60,http://v.hao123.baidu.com/dongman/294537.htm
61,http://game.hao123.com/zt/xyx
62,http://xyx.hao123.com/game/84634.html
63,http://xyx.hao123.com/game/519343.html
64,http://xyx.hao123.com/game/528853.html
65,http://xyx.hao123.com/game/264595.html
66,http://www.hao123.com/zt/qiaohu
67,http://www.hao123.com/zt/shuangren
68,http://www.hao123.com/zt/gamejhzt
69,http://www.hao123.com/zt/xyxddz
70,http://xyx.hao123.com/game/62904.html
71,http://www.hao123.com/zt/yyztcycs2
72,http://www.hao123.com/zt/yyztmfwz
73,http://www.hao123.com/zt/yyztquz
74,http://game.hao123.com/base/detail?gid=554
75,http://game.hao123.com/base/detail?gid=548
76,http://www.hao123.com/zt/lianliankan
77,http://xyx.hao123.com/game/539598.html
78,http://xyx.hao123.com/game/325430.html
79,http://xyx.hao123.com/game/81287.html
80,http://xyx.hao123.com/game/511804.html
81,http://game.hao123.com/base/detail?gid=547
82,http://game.hao123.com/base/detail?gid=549
83,http://game.hao123.com/base/detail?gid=551
84,http://game.hao123.com/base/detail?gid=553
85,http://game.hao123.com/base/detail?gid=555
86,http://game.hao123.com/base/detail?gid=556
87,http://game.hao123.com/base/detail?gid=557
88,http://game.hao123.com/base/detail?gid=542
89,http://game.hao123.com/base/detail?gid=558
90,http://game.hao123.com/base/detail?gid=522
91,http://game.hao123.com/card/305
92,http://game.hao123.com/card/316
93,http://game.hao123.com/card/313
94,http://game.hao123.com/card/308
95,http://game.hao123.com/card/297
96,http://game.hao123.com/card/295
97,http://game.hao123.com/card/293
98,http://game.hao123.com/card/291
99,http://game.hao123.com/card/284
100,http://game.hao123.com/card/264
101,https://sy.hao123.com/qy/72848
102,http://sy.hao123.com/qy/72846
103,https://sy.hao123.com/qy/67544
104,https://sy.hao123.com/qy/72832
105,https://sy.hao123.com/qy/72858
106,https://sy.hao123.com/qy/71094
107,http://www.hao123.com/zt/sywzry
108,http://sy.hao123.com/qy/72864
109,http://sy.hao123.com/qy/72951
110,https://sy.hao123.com/qy/72739
111,https://s.click.taobao.com/ebTzkew
